"Localidade";"Variável";"2008";"2009";"2010";"2011";"2012"
"Abadia de Goiás";"Acidentes de Trânsito - Total (número)";"103";"105";"88";"111";"129"
"Abadiânia";"Acidentes de Trânsito - Total (número)";"188";"203";"220";"202";"241"
"Acreúna";"Acidentes de Trânsito - Total (número)";"150";"141";"163";"172";"198"
"Adelândia";"Acidentes de Trânsito - Total (número)";"3";"3";"3";"4";"8"
"Água Fria de Goiás";"Acidentes de Trânsito - Total (número)";"37";"19";"34";"46";"82"
"Água Limpa";"Acidentes de Trânsito - Total (número)";"6";"9";"8";"8";"7"
"Águas Lindas de Goiás";"Acidentes de Trânsito - Total (número)";"326";"406";"427";"647";"867"
"Alexânia";"Acidentes de Trânsito - Total (número)";"243";"292";"323";"318";"357"
"Aloândia";"Acidentes de Trânsito - Total (número)";"9";"4";"3";"12";"13"
"Alto Horizonte";"Acidentes de Trânsito - Total (número)";"14";"42";"23";"20";"32"
